name,path,row,lat,lon,lat_UL,lon_UL,lat_UR,lon_UR,lat_LL,lon_LL,lat_LR,lon_LR
150_122,150.000000,122.000000,-81.844418,-30.994855,-80.929000,-25.824000,-82.680000,-24.605000,-80.929000,-36.166000,-82.680000,-37.385000
149_122,149.000000,122.000000,-81.844418,-29.449790,-80.929000,-24.279000,-82.680000,-23.060000,-80.929000,-34.621000,-82.680000,-35.840000
148_122,148.000000,122.000000,-81.844418,-27.904726,-80.929000,-22.733000,-82.680000,-21.515000,-80.929000,-33.076000,-82.680000,-34.294000
147_122,147.000000,122.000000,-81.844418,-26.359662,-80.929000,-21.188000,-82.680000,-19.970000,-80.929000,-31.531000,-82.680000,-32.749000
146_122,146.000000,122.000000,-81.844418,-24.814597,-80.929000,-19.643000,-82.680000,-18.425000,-80.929000,-29.986000,-82.680000,-31.204000
145_122,145.000000,122.000000,-81.844418,-23.269533,-80.929000,-18.098000,-82.680000,-16.880000,-80.929000,-28.441000,-82.680000,-29.659000
144_122,144.000000,122.000000,-81.844418,-21.724468,-80.929000,-16.553000,-82.680000,-15.335000,-80.929000,-26.896000,-82.680000,-28.114000
143_122,143.000000,122.000000,-81.844418,-20.179404,-80.929000,-15.008000,-82.680000,-13.790000,-80.929000,-25.351000,-82.680000,-26.569000
142_122,142.000000,122.000000,-81.844418,-18.634340,-80.929000,-13.463000,-82.680000,-12.245000,-80.929000,-23.806000,-82.680000,-25.024000
141_122,141.000000,122.000000,-81.844418,-17.089275,-80.929000,-11.918000,-82.680000,-10.700000,-80.929000,-22.261000,-82.680000,-23.479000
140_122,140.000000,122.000000,-81.844418,-15.544211,-80.929000,-10.373000,-82.680000,-9.155000,-80.929000,-20.715000,-82.680000,-21.934000
139_122,139.000000,122.000000,-81.844418,-13.999147,-80.929000,-8.828000,-82.680000,-7.609000,-80.929000,-19.170000,-82.680000,-20.389000
138_122,138.000000,122.000000,-81.844418,-12.454082,-80.929000,-7.283000,-82.680000,-6.064000,-80.929000,-17.625000,-82.680000,-18.844000
137_122,137.000000,122.000000,-81.844418,-10.909018,-80.929000,-5.738000,-82.680000,-4.519000,-80.929000,-16.080000,-82.680000,-17.299000
136_122,136.000000,122.000000,-81.844418,-9.363953,-80.929000,-4.193000,-82.680000,-2.974000,-80.929000,-14.535000,-82.680000,-15.754000
135_122,135.000000,122.000000,-81.844418,-7.818889,-80.929000,-2.648000,-82.680000,-1.429000,-80.929000,-12.990000,-82.680000,-14.209000
134_122,134.000000,122.000000,-81.844418,-6.273825,-80.929000,-1.103000,-82.680000,0.116000,-80.929000,-11.445000,-82.680000,-12.664000
133_122,133.000000,122.000000,-81.844418,-4.728760,-80.929000,0.443000,-82.680000,1.661000,-80.929000,-9.900000,-82.680000,-11.118000
132_122,132.000000,122.000000,-81.844418,-3.183696,-80.929000,1.988000,-82.680000,3.206000,-80.929000,-8.355000,-82.680000,-9.573000
131_122,131.000000,122.000000,-81.844418,-1.638632,-80.929000,3.533000,-82.680000,4.751000,-80.929000,-6.810000,-82.680000,-8.028000
130_122,130.000000,122.000000,-81.844418,-0.093567,-80.929000,5.078000,-82.680000,6.296000,-80.929000,-5.265000,-82.680000,-6.483000
129_122,129.000000,122.000000,-81.844418,1.451497,-80.929000,6.623000,-82.680000,7.841000,-80.929000,-3.720000,-82.680000,-4.938000
128_122,128.000000,122.000000,-81.844418,2.996562,-80.929000,8.168000,-82.680000,9.386000,-80.929000,-2.175000,-82.680000,-3.393000
127_122,127.000000,122.000000,-81.844418,4.541626,-80.929000,9.713000,-82.680000,10.931000,-80.929000,-0.630000,-82.680000,-1.848000
126_122,126.000000,122.000000,-81.844418,6.086690,-80.929000,11.258000,-82.680000,12.476000,-80.929000,0.915000,-82.680000,-0.303000
125_122,125.000000,122.000000,-81.844418,7.631755,-80.929000,12.803000,-82.680000,14.021000,-80.929000,2.460000,-82.680000,1.242000
124_122,124.000000,122.000000,-81.844418,9.176819,-80.929000,14.348000,-82.680000,15.567000,-80.929000,4.006000,-82.680000,2.787000
123_122,123.000000,122.000000,-81.844418,10.721883,-80.929000,15.893000,-82.680000,17.112000,-80.929000,5.551000,-82.680000,4.332000
122_122,122.000000,122.000000,-81.844418,12.266948,-80.929000,17.438000,-82.680000,18.657000,-80.929000,7.096000,-82.680000,5.877000
121_122,121.000000,122.000000,-81.844418,13.812012,-80.929000,18.983000,-82.680000,20.202000,-80.929000,8.641000,-82.680000,7.422000
120_122,120.000000,122.000000,-81.844418,15.357077,-80.929000,20.528000,-82.680000,21.747000,-80.929000,10.186000,-82.680000,8.967000
119_122,119.000000,122.000000,-81.844418,16.902141,-80.929000,22.073000,-82.680000,23.292000,-80.929000,11.731000,-82.680000,10.512000
118_122,118.000000,122.000000,-81.844418,18.447205,-80.929000,23.618000,-82.680000,24.837000,-80.929000,13.276000,-82.680000,12.057000
117_122,117.000000,122.000000,-81.844418,19.992270,-80.929000,25.164000,-82.680000,26.382000,-80.929000,14.821000,-82.680000,13.603000
116_122,116.000000,122.000000,-81.844418,21.537334,-80.929000,26.709000,-82.680000,27.927000,-80.929000,16.366000,-82.680000,15.148000
115_122,115.000000,122.000000,-81.844418,23.082398,-80.929000,28.254000,-82.680000,29.472000,-80.929000,17.911000,-82.680000,16.693000
114_122,114.000000,122.000000,-81.844418,24.627463,-80.929000,29.799000,-82.680000,31.017000,-80.929000,19.456000,-82.680000,18.238000
113_122,113.000000,122.000000,-81.844418,26.172527,-80.929000,31.344000,-82.680000,32.562000,-80.929000,21.001000,-82.680000,19.783000
112_122,112.000000,122.000000,-81.844418,27.717592,-80.929000,32.889000,-82.680000,34.107000,-80.929000,22.546000,-82.680000,21.328000
111_122,111.000000,122.000000,-81.844418,29.262656,-80.929000,34.434000,-82.680000,35.652000,-80.929000,24.091000,-82.680000,22.873000
110_122,110.000000,122.000000,-81.844418,30.807720,-80.929000,35.979000,-82.680000,37.197000,-80.929000,25.636000,-82.680000,24.418000
109_122,109.000000,122.000000,-81.844418,32.352785,-80.929000,37.524000,-82.680000,38.742000,-80.929000,27.182000,-82.680000,25.963000
108_122,108.000000,122.000000,-81.844418,33.897849,-80.929000,39.069000,-82.680000,40.288000,-80.929000,28.727000,-82.680000,27.508000
